"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 00:00 - 25/04/2026 01:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 01:00 - 25/04/2026 02:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 02:00 - 25/04/2026 03:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 03:00 - 25/04/2026 04:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 04:00 - 25/04/2026 05:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 05:00 - 25/04/2026 06:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 06:00 - 25/04/2026 07:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 07:00 - 25/04/2026 08:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 08:00 - 25/04/2026 09:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 09:00 - 25/04/2026 10:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 10:00 - 25/04/2026 11:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 11:00 - 25/04/2026 12:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 12:00 - 25/04/2026 13:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 13:00 - 25/04/2026 14:00","0.00",""
"25/04/2026 00:00 - 26/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","25/04/2026 14:00 - 25/04/2026 15:00","0.00",""
